            Panels   6.5°-12.00m/s    
   -0.8337263         0.3814029  
   -0.7702244         0.5310842  
   -0.6494367         0.5680595  
   -0.4831867          0.546809  
   -0.2877482         0.4966184  
   -0.1713805         0.4186139  
   -0.1248805         0.3539333  
  -0.08583717         0.3068131  
  -0.06283717         0.2889467  
       -0.023         0.2603599  
        0.023         0.2603599  
   0.06283717         0.2889467  
   0.08583717         0.3068131  
    0.1248805         0.3539333  
    0.1713805         0.4186139  
    0.2877482         0.4966184  
    0.4831867          0.546809  
    0.6494367         0.5680595  
    0.7702244         0.5310842  
    0.8337263         0.3814029  

